Pourcentage erreur;Voisin;Dimension
29.93;10;('Charge', 'Hydropathie')
28.95;11;('Charge', 'Hydropathie')
28.95;12;('Charge', 'Hydropathie')
29.61;13;('Charge', 'Hydropathie')
27.96;14;('Charge', 'Hydropathie')
28.95;15;('Charge', 'Hydropathie')
27.3;16;('Charge', 'Hydropathie')
27.63;17;('Charge', 'Hydropathie')
26.97;18;('Charge', 'Hydropathie')
26.64;19;('Charge', 'Hydropathie')
37.5;1;('Charge', 'Pi')
35.53;2;('Charge', 'Pi')
35.53;3;('Charge', 'Pi')
35.86;4;('Charge', 'Pi')
34.54;5;('Charge', 'Pi')
36.18;6;('Charge', 'Pi')
37.17;7;('Charge', 'Pi')
36.18;8;('Charge', 'Pi')
38.16;9;('Charge', 'Pi')
35.86;10;('Charge', 'Pi')
34.87;11;('Charge', 'Pi')
34.54;12;('Charge', 'Pi')
36.84;13;('Charge', 'Pi')
38.16;14;('Charge', 'Pi')
36.84;15;('Charge', 'Pi')
36.51;16;('Charge', 'Pi')
35.86;17;('Charge', 'Pi')
36.84;18;('Charge', 'Pi')
33.22;19;('Charge', 'Pi')
34.54;1;('Volume', 'Tendance helice')
35.86;2;('Volume', 'Tendance helice')
35.86;3;('Volume', 'Tendance helice')
33.88;4;('Volume', 'Tendance helice')
31.91;5;('Volume', 'Tendance helice')
30.92;6;('Volume', 'Tendance helice')
30.26;7;('Volume', 'Tendance helice')
29.61;8;('Volume', 'Tendance helice')
30.59;9;('Volume', 'Tendance helice')
31.58;10;('Volume', 'Tendance helice')
29.93;11;('Volume', 'Tendance helice')
31.25;12;('Volume', 'Tendance helice')
29.61;13;('Volume', 'Tendance helice')
29.28;14;('Volume', 'Tendance helice')
28.95;15;('Volume', 'Tendance helice')
29.28;16;('Volume', 'Tendance helice')
29.28;17;('Volume', 'Tendance helice')
30.26;18;('Volume', 'Tendance helice')
29.93;19;('Volume', 'Tendance helice')
26.32;1;('Volume', 'Tendance feuillet')
26.97;2;('Volume', 'Tendance feuillet')
27.63;3;('Volume', 'Tendance feuillet')
23.68;4;('Volume', 'Tendance feuillet')
25.66;5;('Volume', 'Tendance feuillet')
25.99;6;('Volume', 'Tendance feuillet')
26.97;7;('Volume', 'Tendance feuillet')
25.33;8;('Volume', 'Tendance feuillet')
26.97;9;('Volume', 'Tendance feuillet')
26.64;10;('Volume', 'Tendance feuillet')
25.99;11;('Volume', 'Tendance feuillet')
25.0;12;('Volume', 'Tendance feuillet')
23.36;13;('Volume', 'Tendance feuillet')
24.01;14;('Volume', 'Tendance feuillet')
25.0;15;('Volume', 'Tendance feuillet')
25.33;16;('Volume', 'Tendance feuillet')
25.33;17;('Volume', 'Tendance feuillet')
24.67;18;('Volume', 'Tendance feuillet')
24.01;19;('Volume', 'Tendance feuillet')
33.22;1;('Volume', 'Flexibilite')
34.21;2;('Volume', 'Flexibilite')
36.18;3;('Volume', 'Flexibilite')
35.53;4;('Volume', 'Flexibilite')
35.2;5;('Volume', 'Flexibilite')
33.22;6;('Volume', 'Flexibilite')
33.88;7;('Volume', 'Flexibilite')
32.57;8;('Volume', 'Flexibilite')
33.55;9;('Volume', 'Flexibilite')
31.25;10;('Volume', 'Flexibilite')
31.91;11;('Volume', 'Flexibilite')
30.92;12;('Volume', 'Flexibilite')
31.25;13;('Volume', 'Flexibilite')
30.26;14;('Volume', 'Flexibilite')
30.26;15;('Volume', 'Flexibilite')
29.93;16;('Volume', 'Flexibilite')
30.59;17;('Volume', 'Flexibilite')
30.92;18;('Volume', 'Flexibilite')
30.59;19;('Volume', 'Flexibilite')
31.58;1;('Volume', 'Hydropathie')
33.88;2;('Volume', 'Hydropathie')
27.96;3;('Volume', 'Hydropathie')
24.34;4;('Volume', 'Hydropathie')
25.33;5;('Volume', 'Hydropathie')
26.97;6;('Volume', 'Hydropathie')
27.3;7;('Volume', 'Hydropathie')
25.99;8;('Volume', 'Hydropathie')
25.99;9;('Volume', 'Hydropathie')
25.99;10;('Volume', 'Hydropathie')
26.97;11;('Volume', 'Hydropathie')
26.32;12;('Volume', 'Hydropathie')
26.32;13;('Volume', 'Hydropathie')
27.3;14;('Volume', 'Hydropathie')
27.63;15;('Volume', 'Hydropathie')
27.96;16;('Volume', 'Hydropathie')
26.32;17;('Volume', 'Hydropathie')
25.66;18;('Volume', 'Hydropathie')
25.66;19;('Volume', 'Hydropathie')
33.55;1;('Volume', 'Pi')
35.53;2;('Volume', 'Pi')
35.86;3;('Volume', 'Pi')
35.53;4;('Volume', 'Pi')
34.54;5;('Volume', 'Pi')
34.54;6;('Volume', 'Pi')
32.89;7;('Volume', 'Pi')
32.57;8;('Volume', 'Pi')
33.55;9;('Volume', 'Pi')
32.89;10;('Volume', 'Pi')
31.91;11;('Volume', 'Pi')
31.58;12;('Volume', 'Pi')
30.59;13;('Volume', 'Pi')
29.93;14;('Volume', 'Pi')
31.25;15;('Volume', 'Pi')
30.26;16;('Volume', 'Pi')
31.58;17;('Volume', 'Pi')
29.93;18;('Volume', 'Pi')
31.25;19;('Volume', 'Pi')
24.67;1;('Tendance helice', 'Tendance feuillet')
26.64;2;('Tendance helice', 'Tendance feuillet')
28.29;3;('Tendance helice', 'Tendance feuillet')
26.32;4;('Tendance helice', 'Tendance feuillet')
27.63;5;('Tendance helice', 'Tendance feuillet')
25.99;6;('Tendance helice', 'Tendance feuillet')
25.66;7;('Tendance helice', 'Tendance feuillet')
